temp,windspeed,prev_day_avg_temp,season,hour_sin,hour_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,Load
31.3059,10.1586,35.0897,1.0,0.0,1.0,0.5,0.866,0.0,1.0,5145.4585
38.2125,6.7175,36.7937,1.0,0.0,1.0,0.866,0.5,0.0,1.0,4958.9588
41.1111,8.6028,41.9876,2.0,0.0,1.0,1.0,0.0,0.0,1.0,4734.6939
49.4882,7.7765,52.331,2.0,0.0,1.0,0.866,-0.5,0.0,1.0,4404.5054
59.1353,6.8824,61.5651,2.0,0.0,1.0,0.5,-0.866,0.0,1.0,4529.797
69.7,6.6412,72.7541,3.0,0.0,1.0,0.0,-1.0,0.0,1.0,5575.1933
77.4944,4.9333,79.16,3.0,0.0,1.0,-0.5,-0.866,0.0,1.0,6913.3503
74.5556,5.3667,75.4079,3.0,0.0,1.0,-0.866,-0.5,0.0,1.0,6368.6878
69.5857,5.9,70.1158,4.0,0.0,1.0,-1.0,-0.0,0.0,1.0,5456.7716
57.5154,5.3692,57.7878,4.0,0.0,1.0,-0.866,0.5,0.0,1.0,4550.9033
47.7846,6.5,47.5047,4.0,0.0,1.0,-0.5,0.866,0.0,1.0,4507.5686
39.9571,7.9857,39.194,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,4879.7317
30.0765,9.1864,35.0897,1.0,0.2588,0.9659,0.5,0.866,0.0,1.0,4941.1296
38.275,6.8623,36.7937,1.0,0.2588,0.9659,0.866,0.5,0.0,1.0,4732.8156
40.3389,8.4944,41.9876,2.0,0.2588,0.9659,1.0,0.0,0.0,1.0,4521.8034
49.1765,8.0941,52.331,2.0,0.2588,0.9659,0.866,-0.5,0.0,1.0,4203.3534
58.4882,5.9176,61.5651,2.0,0.2588,0.9659,0.5,-0.866,0.0,1.0,4300.4987
68.8059,6.4294,72.7541,3.0,0.2588,0.9659,0.0,-1.0,0.0,1.0,5289.0703
76.4167,5.2222,79.16,3.0,0.2588,0.9659,-0.5,-0.866,0.0,1.0,6610.3322
73.9111,5.5333,75.4079,3.0,0.2588,0.9659,-0.866,-0.5,0.0,1.0,6119.0497
68.5214,5.6857,70.1158,4.0,0.2588,0.9659,-1.0,-0.0,0.0,1.0,5210.5342
57.0538,5.1385,57.7878,4.0,0.2588,0.9659,-0.866,0.5,0.0,1.0,4334.8673
47.0846,6.3385,47.5047,4.0,0.2588,0.9659,-0.5,0.866,0.0,1.0,4295.3229
39.3,7.2143,39.194,1.0,0.2588,0.9659,-0.0,1.0,0.0,1.0,4648.0401
29.2588,10.3044,35.0838,1.0,0.5,0.866,0.5,0.866,0.0,1.0,4797.4531
38.125,7.6008,36.7937,1.0,0.5,0.866,0.866,0.5,0.0,1.0,4583.5171
39.8444,8.8056,41.9876,2.0,0.5,0.866,1.0,0.0,0.0,1.0,4375.223
48.4941,8.3647,52.331,2.0,0.5,0.866,0.866,-0.5,0.0,1.0,4058.5485
58.0412,6.2882,61.5651,2.0,0.5,0.866,0.5,-0.866,0.0,1.0,4130.2447
68.2588,6.4118,72.7541,3.0,0.5,0.866,0.0,-1.0,0.0,1.0,5076.3044
75.9389,4.1722,79.16,3.0,0.5,0.866,-0.5,-0.866,0.0,1.0,6364.9416
73.3889,5.45,75.4079,3.0,0.5,0.866,-0.866,-0.5,0.0,1.0,5903.4897
68.0857,5.6429,70.1158,4.0,0.5,0.866,-1.0,-0.0,0.0,1.0,5019.6442
56.9615,4.9923,57.7878,4.0,0.5,0.866,-0.866,0.5,0.0,1.0,4173.3533
46.8154,6.6154,47.5047,4.0,0.5,0.866,-0.5,0.866,0.0,1.0,4161.0302
39.1571,6.7,39.194,1.0,0.5,0.866,-0.0,1.0,0.0,1.0,4491.1357
28.6235,9.4871,35.0367,1.0,0.7071,0.7071,0.5,0.866,0.0,1.0,4713.6295
37.8812,7.6768,36.7937,1.0,0.7071,0.7071,0.866,0.5,0.0,1.0,4501.3126
39.3,8.6611,41.9876,2.0,0.7071,0.7071,1.0,0.0,0.0,1.0,4295.178
47.8353,8.5353,52.331,2.0,0.7071,0.7071,0.866,-0.5,0.0,1.0,3978.0787
57.5471,6.2706,61.5651,2.0,0.7071,0.7071,0.5,-0.866,0.0,1.0,4020.7065
67.6059,6.1118,72.7541,3.0,0.7071,0.7071,0.0,-1.0,0.0,1.0,4937.8989
75.0389,3.6,79.16,3.0,0.7071,0.7071,-0.5,-0.866,0.0,1.0,6182.9332
72.9722,5.7333,75.4079,3.0,0.7071,0.7071,-0.866,-0.5,0.0,1.0,5751.4196
67.7214,5.0714,70.1158,4.0,0.7071,0.7071,-1.0,-0.0,0.0,1.0,4894.7142
