name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
"New York City, NY",2019-04-24T00:00:00,65.6,65.6,52.4,62.25,0.02,,,0,0,,5.6,244,1007.5,71.1,5.7,,,0,,"Rain, Partially cloudy"
"New York City, NY",2019-04-24T01:00:00,64.9,64.9,54.2,68.11,0.06,,,0,0,,12.2,197,1006.4,54.4,9.9,,,0,,"Rain, Partially cloudy"
"New York City, NY",2019-04-24T02:00:00,65.5,65.5,52.5,62.76,0,,,0,0,,6.4,210,1005.7,71.7,9.9,,,0,,Partially cloudy
"New York City, NY",2019-04-24T03:00:00,65.6,65.6,51.9,61.21,0,,,0,0,,6.7,226,1005.3,54.7,9.9,,,0,,Partially cloudy
"New York City, NY",2019-04-24T04:00:00,65.2,65.2,51.9,61.95,0,,,0,0,,5,220,1005,13.9,9.9,,,0,,Clear
"New York City, NY",2019-04-24T05:00:00,65.1,65.1,51.3,60.96,0,,,0,0,,6,241,1004.7,19.2,9.9,,,0,,Clear
"New York City, NY",2019-04-24T06:00:00,64.9,64.9,51.9,62.68,0,,,0,0,23,9.2,266,1005.1,12,9.9,7,0,0,,Clear
"New York City, NY",2019-04-24T07:00:00,63.4,63.4,50.7,63.26,0,,,0,0,18.3,8,275,1005.8,10.5,9.9,30,0.1,0,,Clear
"New York City, NY",2019-04-24T08:00:00,62.9,62.9,47.5,57.23,0,,,0,0,22,12.8,304,1006.7,14.1,9.9,100,0.4,1,,Clear
"New York City, NY",2019-04-24T09:00:00,62.2,62.2,40.5,44.94,0,,,0,0,29.9,11.8,292,1007.2,10.5,9.9,397,1.4,4,,Clear
"New York City, NY",2019-04-24T10:00:00,62,62,38.2,41.24,0,,,0,0,29.9,19.2,298,1007.5,10.5,9.9,630,2.3,6,,Clear
"New York City, NY",2019-04-24T11:00:00,62.3,62.3,36.6,38.27,0,,,0,0,20.1,12.1,306,1008.2,10.5,9.9,803,2.9,8,,Clear
"New York City, NY",2019-04-24T12:00:00,64.5,64.5,37.7,37.07,0,,,0,0,29.9,10,298,1008.3,10.5,9.9,906,3.3,9,,Clear
"New York City, NY",2019-04-24T13:00:00,64.9,64.9,37.1,35.81,0,,,0,0,27.7,10,294,1008.3,12,9.9,947,3.4,9,,Clear
"New York City, NY",2019-04-24T14:00:00,65.8,65.8,35.8,32.95,0,,,0,0,22.1,10.1,298,1008,8.8,9.9,930,3.3,9,,Clear
"New York City, NY",2019-04-24T15:00:00,66.8,66.8,36.2,32.22,0,,,0,0,22.5,12,307,1007.9,10.5,9.9,858,3.1,9,,Clear
"New York City, NY",2019-04-24T16:00:00,68,68,36.2,30.98,0,,,0,0,26,18.3,310,1007.7,10.5,9.9,729,2.6,7,,Clear
"New York City, NY",2019-04-24T17:00:00,68.2,68.2,35.4,29.79,0,,,0,0,23.6,11.3,302,1008.1,10.5,9.9,559,2,6,,Clear
"New York City, NY",2019-04-24T18:00:00,68.2,68.2,35.1,29.37,0,,,0,0,24.2,7.7,324,1008.5,10.5,9.9,361,1.3,4,,Clear
"New York City, NY",2019-04-24T19:00:00,67.2,67.2,36.1,31.68,0,,,0,0,24.2,9.4,346,1008.9,10.5,9.9,136,0.5,1,,Clear
"New York City, NY",2019-04-24T20:00:00,65.2,65.2,36.2,34.18,0,,,0,0,,3.3,1,1009.6,14.1,9.9,12,0,0,,Clear
"New York City, NY",2019-04-24T21:00:00,64,64,36.5,36.04,0,,,0,0,,4.7,13,1010.3,20.3,9.9,,,0,,Partially cloudy
"New York City, NY",2019-04-24T22:00:00,62.3,62.3,37.9,40.34,0,,,0,0,,4.9,22,1010.7,25.4,9.9,,,0,,Partially cloudy
"New York City, NY",2019-04-24T23:00:00,60,60,38.9,45.41,0,,,0,0,,5.2,37,1011.5,34.2,9.9,,,0,,Partially cloudy
"New York City, NY",2018-10-01T00:00:00,65.3,65.3,57.6,76.26,0,,,0,0,,2.2,275,1026,19.2,9.9,,,0,,Clear
"New York City, NY",2018-10-01T01:00:00,65,65,58.5,79.71,0,,,0,0,,3.6,243,1025.7,34.2,9.9,,,0,,Partially cloudy
"New York City, NY",2018-10-01T02:00:00,65,65,59.3,81.82,0,,,0,0,,6.2,208,1025.6,34.2,9.9,,,0,,Partially cloudy
"New York City, NY",2018-10-01T03:00:00,64.2,64.2,59.5,84.79,0,,,0,0,,2.7,235,1025.2,27.9,9.9,,,0,,Partially cloudy
"New York City, NY",2018-10-01T04:00:00,63.7,63.7,58.7,83.65,0,,,0,0,,1.6,282,1025.1,19.2,9.9,,,0,,Clear
"New York City, NY",2018-10-01T05:00:00,63.8,63.8,60,87.26,0,,,0,0,,4.8,197,1025.3,95.7,9.9,,,0,,Overcast
"New York City, NY",2018-10-01T06:00:00,64.8,64.8,60.7,86.77,0,,,0,0,,3.1,223,1025.7,97.5,9.9,,,0,,Overcast
"New York City, NY",2018-10-01T07:00:00,65.5,65.5,60.7,84.69,0,,,0,0,,4.6,224,1025.6,97.5,9.9,,,0,,Overcast
"New York City, NY",2018-10-01T08:00:00,65.9,65.9,60.9,83.94,0,,,0,0,,6.9,208,1026,97.5,9.9,,,0,,Overcast
"New York City, NY",2018-10-01T09:00:00,66.9,66.9,60.9,80.9,0,,,0,0,,3,282,1026.1,97.5,9.9,,,0,,Overcast
"New York City, NY",2018-10-01T10:00:00,69,69,61.6,77.43,0,,,0,0,,5.8,200,1026.2,97.5,9.9,,,0,,Overcast
"New York City, NY",2018-10-01T11:00:00,70.9,70.9,62,73.42,0,,,0,0,,8.8,220,1025.8,97.5,9.9,,,0,,Overcast
